Kod produktu,Numer strony,eco_icon_1,eco_icon_2,eco_icon_3,eco_icon_4
9123,21,,,,
9112,21,,,,
9080,23,,,,
9127,23,,,,
9062,25,,,,
9054,25,,,,
9067,25,,,,
9113,25,,,,
9081,24,,,,
9068,24,,,,
9091,27,,,,
9092,27,,,,
9099,27,,,,
9093,26,,,,
9072,26,,,,
9102,26,,,,
9105,29,,,,
9074,29,,,,
9038,29,,,,
9121,28,,,,
9116,29,,,,
9128,28,,,,
9077,30,,,,
9104,31,,,,
9046,31,,,,
9045,31,,,,
3079,33,,,,
3092,32,,,,
3087,32,,,,
9131,33,,,,
3083,34,,,,
3089,34,,,,
3060,35,,,,
3082,35,,,,
3016,35,,,,
3086,35,,,,
3080,36,,,,
3085,36,,,,
3053,37,,,,
3054,37,,,,
3078,37,,,,
3084,37,,,,
3081,38,,,,
9126,38,,,,
3062,39,,,,
3068,39,,,,
9125,38,,,,
2005,38,,,,
2006,38,,,,
3018,40,,,,
3069,40,,,,
3090,41,,,,
3088,41,,,,
9066,42,,,,
9130,43,,,,
9085,42,,,,
9079,43,,,,
9108,44,,,,
45119,45,,,,
45120,45,,,,
9132,44,,,,
45118,49,,,,
45114,48,,,,
45116,48,,,,
45078,49,,,,
45077,48,,,,
45070,48,,,,
45113,51,,,,
45089,51,,,,
45101,50,,,,
45117,50,,,,
45100,50,,,,
45115,51,,,,
45112,52,,,,
45111,52,,,,
45045,53,,,,
45035,53,,,,
45088,54,,,,
45091,55,,,,
45105,54,,,,
45090,55,,,,
45041,55,,,,
45093,54,,,,
45025,57,,,,
45092,56,,,,
45010,57,,,,
45030,56,,,,
45040,56,,,,
45102,57,,,,
45081,59,,,,
9053,58,,,,
45080,58,,,,
45110,59,,,,
9049,60,,,,
9056,60,,,,
9065,61,,,,
17808,61,,,,
20402,61,,,,
9117,63,,,,
9087,63,,,,
9107,65,,,,
9086,65,,,,
9086,64,,,,
9114,64,,,,
9115,64,,,,
9088,65,,,,
9122,67,,,,
